"Adolphsbrücke";"7 / 7";"Hamburg-Altstadt";102;20457;1;"Hamburg-Altstadt, HafenCity, Neustadt, St. Pauli"
"Adolphsbrücke";"10 / 10";"Neustadt";108;20457;1;"Hamburg-Altstadt, HafenCity, Neustadt, St. Pauli"
"Adolphsbrücke";"11 / 11";"Neustadt";108;20457;1;"Hamburg-Altstadt, HafenCity, Neustadt, St. Pauli"
"Adolph-Schönfelder-Straße";"5 / 67";"Barmbek-Süd";420;22083;5;"Barmbek-Süd / Dulsberg"
"Adolph-Schönfelder-Straße";"66 / 78";"Barmbek-Süd";420;22083;5;"Barmbek-Süd / Dulsberg"
"Adolphsplatz";"1 - 7";"Hamburg-Altstadt";102;20457;1;"Hamburg-Altstadt, HafenCity, Neustadt, St. Pauli"
"Afrikastraße";"1 - 3";"Kleiner Grasbrook";138;20457;7;"Veddel, Wilhelmsburg-Ost, Kleiner Grasbrook"
"Agathe-Lasch-Weg";"2 / 26";"Othmarschen";219;22605;4;"Bahrenfeld-West / GroßFlottbek / Othmarschen"
"Agathe-Lasch-Weg";"15 / 33";"Othmarschen";219;22605;4;"Bahrenfeld-West / GroßFlottbek / Othmarschen"
"Agathenstraße";"1 / 11";"Eimsbüttel";309;20357;2;"Eimsbüttel-Süd / Hoheluft-West"
"Agathenstraße";"2 / 12";"Eimsbüttel";309;20357;2;"Eimsbüttel-Süd / Hoheluft-West"
"Agnes-Gierck-Weg";"1 / 17c";"Langenhorn";432;22419;7;"Langenhorn"
"Agnes-Gierck-Weg";"2 / 20";"Langenhorn";432;22419;7;"Langenhorn"
"Agnesstraße";"1 / 59";"Winterhude";413;22301;3;"Winterhude"
"Agnesstraße";"2 / 62";"Winterhude";413;22301;3;"Winterhude"
"Agnes-Wolffson-Straße";"1 / 11";"Neuallermöhe";615;21035;7;"Neuallermöhe"
"Agnes-Wolffson-Straße";"2 / 10";"Neuallermöhe";615;21035;7;"Neuallermöhe"
"Ahlbecker Weg";"1a / 11";"Rahlstedt";526;22147;8;"Rahlstedt-Nord"
"Ahlbecker Weg";"2 / 38";"Rahlstedt";526;22147;8;"Rahlstedt-Nord"
"Ahlfeld";"1 / 77";"Langenhorn";432;22415;7;"Langenhorn"
"Ahlfeld";"2 / 78";"Langenhorn";432;22415;7;"Langenhorn"
"Ahornallee";"2 / 46";"Lokstedt";317;22529;4;"Lokstedt"
"Ahornallee";"3 / 37";"Lokstedt";317;22529;4;"Lokstedt"
"Ahornkamp";"1 / 11";"Ohlsdorf";430;22335;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Ahornkamp";"6 / 30";"Ohlsdorf";430;22335;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Ahornstraße";"1 / 27";"Marienthal";511;22043;2;"Marienthal, Jenfeld, Tonndorf"
"Ahornstraße";"2 / 16";"Marienthal";511;22043;2;"Marienthal, Jenfeld, Tonndorf"
"Ahornweg";"1 / 25";"Bergstedt";524;22395;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Ahornweg";"2 / 30";"Bergstedt";524;22395;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Ahrensburger Platz";"1 / 7";"Volksdorf";525;22359;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Ahrensburger Platz";"2 / 4";"Volksdorf";525;22359;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
